Experiment,Median_R_err,Median_t_err,mAA_5,mAA_10,mAA_20,Num_Pairs
3p_ours_shift_scale+1,0.00,80.27,0.0,0.0,0.0,3
3p_ours_shift_scale+10,0.00,80.27,0.0,0.0,0.0,3
3p_ours_shift_scale+12,0.00,80.27,0.0,0.0,0.0,3
3p_ours_shift_scale+2,0.00,80.27,0.0,0.0,0.0,3
3p_ours_shift_scale+6,0.00,80.27,0.0,0.0,0.0,3
3p_ours_shift_scale_hybrid+1,0.00,80.27,0.0,0.0,0.0,3
3p_ours_shift_scale_hybrid+10,0.00,80.27,0.0,0.0,0.0,3
3p_ours_shift_scale_hybrid+12,0.00,80.27,0.0,0.0,0.0,3
3p_ours_shift_scale_hybrid+2,0.00,80.27,0.0,0.0,0.0,3
3p_ours_shift_scale_hybrid+6,0.00,80.27,0.0,0.0,0.0,3
3p_ours_shift_scale_hybrid-s+1,0.00,80.27,0.0,0.0,0.0,3
3p_ours_shift_scale_hybrid-s+10,0.00,80.27,0.0,0.0,0.0,3
3p_ours_shift_scale_hybrid-s+12,0.00,80.27,0.0,0.0,0.0,3
3p_ours_shift_scale_hybrid-s+2,0.00,80.27,0.0,0.0,0.0,3
3p_ours_shift_scale_hybrid-s+6,0.00,80.27,0.0,0.0,0.0,3
3p_ours_shift_scale_hybrid-s_reproj+1,0.00,58.86,0.0,0.0,0.0,3
3p_ours_shift_scale_hybrid-s_reproj+10,0.00,58.86,0.0,0.0,0.0,3
3p_ours_shift_scale_hybrid-s_reproj+12,0.00,58.86,0.0,0.0,0.0,3
3p_ours_shift_scale_hybrid-s_reproj+2,0.00,58.86,0.0,0.0,0.0,3
3p_ours_shift_scale_hybrid-s_reproj+6,0.00,58.86,0.0,0.0,0.0,3
3p_ours_shift_scale_hybrid_reproj+1,0.00,40.66,0.0,0.0,0.0,3
3p_ours_shift_scale_hybrid_reproj+10,0.00,40.66,0.0,0.0,0.0,3
3p_ours_shift_scale_hybrid_reproj+12,0.00,40.66,0.0,0.0,0.0,3
3p_ours_shift_scale_hybrid_reproj+2,0.00,40.66,0.0,0.0,0.0,3
3p_ours_shift_scale_hybrid_reproj+6,0.00,40.66,0.0,0.0,0.0,3
3p_ours_shift_scale_reproj+1,0.00,40.66,0.0,0.0,0.0,3
3p_ours_shift_scale_reproj+10,0.00,40.66,0.0,0.0,0.0,3
3p_ours_shift_scale_reproj+12,0.00,40.66,0.0,0.0,0.0,3
3p_ours_shift_scale_reproj+2,0.00,40.66,0.0,0.0,0.0,3
3p_ours_shift_scale_reproj+6,0.00,40.66,0.0,0.0,0.0,3
3p_ours_shift_scale_reproj-s+1,0.00,58.86,0.0,0.0,0.0,3
3p_ours_shift_scale_reproj-s+10,0.00,58.86,0.0,0.0,0.0,3
3p_ours_shift_scale_reproj-s+12,0.00,58.86,0.0,0.0,0.0,3
3p_ours_shift_scale_reproj-s+2,0.00,58.86,0.0,0.0,0.0,3
3p_ours_shift_scale_reproj-s+6,0.00,58.86,0.0,0.0,0.0,3
