Matches,Depth,Solver,εr(°),εt(°),mAA@5,mAA@10,mAA@20,τ(ms),Inliers,Num_Pairs
dinov3,UniDepth,3p_ours_shift_scale+1,0.00,80.27,0.0,0.0,0.0,1733.2,81.4,3
dinov3,UniDepth,3p_ours_shift_scale+10,0.00,80.27,0.0,0.0,0.0,1711.8,81.4,3
dinov3,UniDepth,3p_ours_shift_scale+12,0.00,80.27,0.0,0.0,0.0,1713.0,81.4,3
dinov3,UniDepth,3p_ours_shift_scale+2,0.00,80.27,0.0,0.0,0.0,1715.5,81.4,3
dinov3,UniDepth,3p_ours_shift_scale+6,0.00,80.27,0.0,0.0,0.0,1719.1,81.4,3
dinov3,UniDepth,3p_ours_shift_scale_hybrid+1,0.00,80.27,0.0,0.0,0.0,1724.1,81.4,3
dinov3,UniDepth,3p_ours_shift_scale_hybrid+10,0.00,80.27,0.0,0.0,0.0,1708.5,81.4,3
dinov3,UniDepth,3p_ours_shift_scale_hybrid+12,0.00,80.27,0.0,0.0,0.0,1713.4,81.4,3
dinov3,UniDepth,3p_ours_shift_scale_hybrid+2,0.00,80.27,0.0,0.0,0.0,1717.3,81.4,3
dinov3,UniDepth,3p_ours_shift_scale_hybrid+6,0.00,80.27,0.0,0.0,0.0,1721.1,81.4,3
dinov3,UniDepth,3p_ours_shift_scale_hybrid-s+1,0.00,80.27,0.0,0.0,0.0,1712.5,81.4,3
dinov3,UniDepth,3p_ours_shift_scale_hybrid-s+10,0.00,80.27,0.0,0.0,0.0,1711.8,81.4,3
dinov3,UniDepth,3p_ours_shift_scale_hybrid-s+12,0.00,80.27,0.0,0.0,0.0,1720.6,81.4,3
dinov3,UniDepth,3p_ours_shift_scale_hybrid-s+2,0.00,80.27,0.0,0.0,0.0,1712.4,81.4,3
dinov3,UniDepth,3p_ours_shift_scale_hybrid-s+6,0.00,80.27,0.0,0.0,0.0,1715.2,81.4,3
dinov3,UniDepth,3p_ours_shift_scale_hybrid-s_reproj+1,0.00,58.86,0.0,0.0,0.0,1466.2,85.5,3
dinov3,UniDepth,3p_ours_shift_scale_hybrid-s_reproj+10,0.00,58.86,0.0,0.0,0.0,1465.1,85.5,3
dinov3,UniDepth,3p_ours_shift_scale_hybrid-s_reproj+12,0.00,58.86,0.0,0.0,0.0,1462.0,85.5,3
dinov3,UniDepth,3p_ours_shift_scale_hybrid-s_reproj+2,0.00,58.86,0.0,0.0,0.0,1459.8,85.5,3
dinov3,UniDepth,3p_ours_shift_scale_hybrid-s_reproj+6,0.00,58.86,0.0,0.0,0.0,1460.3,85.5,3
