source_file,run_id,timestamp,method,config_key,dift_t,up_ft_index,img_size,max_points,ensemble_size,roma_setting,scene,exp_type,solver,is_primary_solver,summary_mAA10,summary_rot_err,summary_trans_err,summary_inlier_pct,solver_mAA10,solver_inliers_pct,solver_eR_median,solver_eT_median,solver_runtime_ms,solver_n_pairs
experiments/phase1_dift_temporal_t0_up2_s768.json,dift_geo_t0_up2_s768,2026-03-12T21:38:12,dift,dift_t0_up2_ens8_sp_mnn_mp2000,0,2,768,2000,8,precise,reichstag,calibrated,3p_ours_shift_scale+12,true,43.47,2.06,5.46,35.57,52.4,27.54,1.39,3.83,6.91,2577
experiments/phase1_dift_temporal_t0_up2_s768.json,dift_geo_t0_up2_s768,2026-03-12T21:38:12,dift,dift_t0_up2_ens8_sp_mnn_mp2000,0,2,768,2000,8,precise,reichstag,calibrated,3p_ours_shift_scale_hybrid_reproj+12,false,43.47,2.06,5.46,35.57,39.0,39.58,2.36,6.19,4.39,2577
experiments/phase1_dift_temporal_t0_up2_s768.json,dift_geo_t0_up2_s768,2026-03-12T21:38:12,dift,dift_t0_up2_ens8_sp_mnn_mp2000,0,2,768,2000,8,precise,reichstag,calibrated,3p_ours_shift_scale_reproj+12,false,43.47,2.06,5.46,35.57,39.0,39.58,2.36,6.19,4.41,2577
experiments/phase1_dift_temporal_t0_up2_s768.json,dift_geo_t0_up2_s768,2026-03-12T21:38:12,dift,dift_t0_up2_ens8_sp_mnn_mp2000,0,2,768,2000,8,precise,reichstag,shared_focal,4p_ours_scale_shift+12,true,34.87,2.93,6.9,34.74,30.81,25.61,3.92,8.53,23.57,2577
experiments/phase1_dift_temporal_t0_up2_s768.json,dift_geo_t0_up2_s768,2026-03-12T21:38:12,dift,dift_t0_up2_ens8_sp_mnn_mp2000,0,2,768,2000,8,precise,reichstag,shared_focal,4p_ours_scale_shift_reproj+12,false,34.87,2.93,6.9,34.74,32.1,37.71,3.11,7.51,22.08,2577
experiments/phase1_dift_temporal_t0_up2_s768.json,dift_geo_t0_up2_s768,2026-03-12T21:38:12,dift,dift_t0_up2_ens8_sp_mnn_mp2000,0,2,768,2000,8,precise,reichstag,shared_focal,4p_ours_scale_shift_reproj-s+12,false,34.87,2.93,6.9,34.74,41.7,40.89,2.16,5.43,23.24,2577
experiments/phase1_dift_temporal_t0_up2_s768.json,dift_geo_t0_up2_s768,2026-03-12T21:38:12,dift,dift_t0_up2_ens8_sp_mnn_mp2000,0,2,768,2000,8,precise,reichstag,varying_focal,4p_ours_scale_shift+12,true,19.04,3.7,16.38,33.29,13.36,22.54,6.04,21.74,12.59,2577
experiments/phase1_dift_temporal_t0_up2_s768.json,dift_geo_t0_up2_s768,2026-03-12T21:38:12,dift,dift_t0_up2_ens8_sp_mnn_mp2000,0,2,768,2000,8,precise,reichstag,varying_focal,4p_ours_scale_shift_reproj+12,false,19.04,3.7,16.38,33.29,21.14,37.18,2.84,16.58,10.49,2577
experiments/phase1_dift_temporal_t0_up2_s768.json,dift_geo_t0_up2_s768,2026-03-12T21:38:12,dift,dift_t0_up2_ens8_sp_mnn_mp2000,0,2,768,2000,8,precise,reichstag,varying_focal,4p_ours_scale_shift_reproj-s+12,false,19.04,3.7,16.38,33.29,22.63,40.16,2.78,12.8,11.98,2577
experiments/phase1_dift_temporal_t0_up2_s768.json,dift_geo_t0_up2_s768,2026-03-12T21:38:12,dift,dift_t0_up2_ens8_sp_mnn_mp2000,0,2,768,2000,8,precise,sacre_coeur,calibrated,3p_ours_shift_scale+12,true,63.13,0.6,3.15,55.51,76.07,44.5,0.33,1.34,17.3,14896
experiments/phase1_dift_temporal_t0_up2_s768.json,dift_geo_t0_up2_s768,2026-03-12T21:38:12,dift,dift_t0_up2_ens8_sp_mnn_mp2000,0,2,768,2000,8,precise,sacre_coeur,calibrated,3p_ours_shift_scale_hybrid_reproj+12,false,63.13,0.6,3.15,55.51,56.66,61.02,0.8,4.0,10.74,14896
experiments/phase1_dift_temporal_t0_up2_s768.json,dift_geo_t0_up2_s768,2026-03-12T21:38:12,dift,dift_t0_up2_ens8_sp_mnn_mp2000,0,2,768,2000,8,precise,sacre_coeur,calibrated,3p_ours_shift_scale_reproj+12,false,63.13,0.6,3.15,55.51,56.66,61.02,0.8,4.0,10.96,14896
experiments/phase1_dift_temporal_t0_up2_s768.json,dift_geo_t0_up2_s768,2026-03-12T21:38:12,dift,dift_t0_up2_ens8_sp_mnn_mp2000,0,2,768,2000,8,precise,sacre_coeur,shared_focal,4p_ours_scale_shift+12,true,49.67,1.11,4.61,54.84,54.25,41.94,0.9,3.69,26.94,14896
experiments/phase1_dift_temporal_t0_up2_s768.json,dift_geo_t0_up2_s768,2026-03-12T21:38:12,dift,dift_t0_up2_ens8_sp_mnn_mp2000,0,2,768,2000,8,precise,sacre_coeur,shared_focal,4p_ours_scale_shift_reproj+12,false,49.67,1.11,4.61,54.84,49.75,60.41,1.11,4.69,25.23,14896
experiments/phase1_dift_temporal_t0_up2_s768.json,dift_geo_t0_up2_s768,2026-03-12T21:38:12,dift,dift_t0_up2_ens8_sp_mnn_mp2000,0,2,768,2000,8,precise,sacre_coeur,shared_focal,4p_ours_scale_shift_reproj-s+12,false,49.67,1.11,4.61,54.84,45.0,62.16,1.29,5.29,26.84,14896
